"Loss of Employment Income, Household Pulse Survey",...2,...3,...4,...5,...6,...7,...8
"Adults in households where someone had a loss in employment income since March 13, 2020",NA,NA,NA,NA,NA,NA,NA
NA,NA,Total Loss of Employment Income,NA,Percent Loss of Employment Income,NA,NA,NA
Area,Week,Number,Margin of Error +/-,Percent,Percent Margin of Error +/-,Measure Universe,Total Population age 18+
United States,"1 - April 23-May 5, 2020",116428453,1483172,47,0.6,247758207,"249,170,916"
-> States,NA,NA,NA,NA,NA,NA,--
Alabama,"1 - April 23-May 5, 2020",1594821,127827,43,3.5,3707927,"3,717,378"
Alaska,"1 - April 23-May 5, 2020",214429,14335,41,2.7,523185,"524,925"
Arizona,"1 - April 23-May 5, 2020",2339734,197089,42.2,3.5,5545026,"5,597,268"
Arkansas,"1 - April 23-May 5, 2020",859752,109557,38.4,4.9,2236490,"2,246,527"
California,"1 - April 23-May 5, 2020",15956140,610123,53.6,2.1,29791277,"29,939,021"
Colorado,"1 - April 23-May 5, 2020",1986916,134956,44.8,3,4433831,"4,454,718"
Connecticut,"1 - April 23-May 5, 2020",1287224,106390,47.3,3.9,2722064,"2,732,423"
Delaware,"1 - April 23-May 5, 2020",338385,25724,45,3.5,751616,"754,637"
District of Columbia,"1 - April 23-May 5, 2020",206556,18208,38.1,3.4,541919,"542,635"
Florida,"1 - April 23-May 5, 2020",8403866,485091,49.3,2.8,17061148,"17,085,385"
Georgia,"1 - April 23-May 5, 2020",3905288,228357,49.4,2.9,7904079,"7,955,983"
Hawaii,"1 - April 23-May 5, 2020",587427,43407,55.1,4.1,1066831,"1,073,229"
Idaho,"1 - April 23-May 5, 2020",492928,41256,36.9,3.1,1334341,"1,343,198"
Illinois,"1 - April 23-May 5, 2020",4171904,364047,43.9,3.8,9496614,"9,546,424"
Indiana,"1 - April 23-May 5, 2020",2347088,161928,47.1,3.2,4983071,"5,015,550"
Iowa,"1 - April 23-May 5, 2020",823770,70288,35.2,3,2342219,"2,342,905"
Kansas,"1 - April 23-May 5, 2020",750885,75707,35.2,3.5,2135253,"2,140,957"
Kentucky,"1 - April 23-May 5, 2020",1585361,110610,47.5,3.3,3336613,"3,344,102"
Louisiana,"1 - April 23-May 5, 2020",1730458,143850,50.9,4.2,3398078,"3,431,432"
Maine,"1 - April 23-May 5, 2020",426898,32568,40.3,3.1,1060030,"1,065,620"
Maryland,"1 - April 23-May 5, 2020",2070773,115001,45.6,2.5,4544488,"4,586,920"
Massachusetts,"1 - April 23-May 5, 2020",2598870,136460,49.1,2.5,5289406,"5,324,065"
Michigan,"1 - April 23-May 5, 2020",4149565,234936,54.4,3.1,7624834,"7,644,458"
Minnesota,"1 - April 23-May 5, 2020",1678030,96055,39.8,2.2,4212153,"4,241,624"
Mississippi,"1 - April 23-May 5, 2020",989039,72603,45.2,3.3,2189294,"2,189,670"
Missouri,"1 - April 23-May 5, 2020",2023156,161046,44.1,3.5,4589677,"4,617,880"
Montana,"1 - April 23-May 5, 2020",332069,33077,40.7,4,816781,"822,204"
Nebraska,"1 - April 23-May 5, 2020",542141,50010,38.4,3.5,1412263,"1,418,191"
Nevada,"1 - April 23-May 5, 2020",1394121,80713,58.3,3.4,2392242,"2,399,457"
New Hampshire,"1 - April 23-May 5, 2020",475720,39363,44.8,3.7,1062526,"1,073,014"
New Jersey,"1 - April 23-May 5, 2020",3638322,228201,53.9,3.4,6749172,"6,776,822"
New Mexico,"1 - April 23-May 5, 2020",767557,67204,48.5,4.3,1581010,"1,589,574"
New York,"1 - April 23-May 5, 2020",7445583,438819,50.6,3,14722001,"14,847,080"
North Carolina,"1 - April 23-May 5, 2020",3382628,258447,42.3,3.2,7995556,"8,017,566"
North Dakota,"1 - April 23-May 5, 2020",214683,22589,38.9,4.1,552347,"561,016"
Ohio,"1 - April 23-May 5, 2020",3871304,273860,44.2,3.1,8766143,"8,822,539"
Oklahoma,"1 - April 23-May 5, 2020",1168649,114627,40.1,3.9,2911928,"2,916,436"
Oregon,"1 - April 23-May 5, 2020",1523728,101940,46.3,3.1,3290691,"3,302,727"
Pennsylvania,"1 - April 23-May 5, 2020",4542523,302223,46.9,3.2,9686947,"9,776,154"
Rhode Island,"1 - April 23-May 5, 2020",380279,31406,46.9,3.8,811554,"817,559"
South Carolina,"1 - April 23-May 5, 2020",1818762,143961,46,3.6,3954993,"3,969,123"
South Dakota,"1 - April 23-May 5, 2020",233742,30772,36.5,4.8,640590,"642,658"
Tennessee,"1 - April 23-May 5, 2020",2293982,193444,44,3.7,5208394,"5,221,475"
Texas,"1 - April 23-May 5, 2020",10094800,597820,47.7,2.8,21143697,"21,356,906"
Utah,"1 - April 23-May 5, 2020",907360,65865,39.9,2.9,2275747,"2,281,207"
Vermont,"1 - April 23-May 5, 2020",254553,21209,52.6,4.4,483839,"485,485"
Virginia,"1 - April 23-May 5, 2020",2410981,175423,37.6,2.7,6417490,"6,472,737"
Washington,"1 - April 23-May 5, 2020",2687150,143467,46,2.4,5845251,"5,890,357"
West Virginia,"1 - April 23-May 5, 2020",522453,56870,37.9,4.1,1378437,"1,379,576"
Wisconsin,"1 - April 23-May 5, 2020",1839669,146187,41.8,3.3,4404268,"4,438,719"
Wyoming,"1 - April 23-May 5, 2020",166436,19651,38.4,4.5,432874,"433,400"
-> Metro Areas,NA,NA,NA,NA,NA,NA,--
"Atlanta-Sandy Springs-Alpharetta, GA Metro Area","1 - April 23-May 5, 2020",2488456,228457,49.6,3.5,5017900,"5,045,522"
"Boston-Cambridge-Newton, MA-NH Metro Area","1 - April 23-May 5, 2020",1881685,141357,49.5,2.9,3803512,"3,825,300"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area","1 - April 23-May 5, 2020",3219559,309298,48.3,3.8,6660147,"6,711,809"
"Dallas-Fort Worth-Arlington, TX Metro Area","1 - April 23-May 5, 2020",3046262,381538,50.8,5.2,5995508,"6,042,623"
"Detroit-Warren-Dearborn, MI Metro Area","1 - April 23-May 5, 2020",1935355,175095,58.2,3.4,3325694,"3,334,812"
"Houston-The Woodlands-Sugar Land, TX Metro Area","1 - April 23-May 5, 2020",2708103,324559,51.3,4.1,5278998,"5,352,295"
"Los Angeles-Long Beach-Anaheim, CA Metro Area","1 - April 23-May 5, 2020",6428744,698666,58.4,4.2,10999101,"11,065,175"
"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","1 - April 23-May 5, 2020",2658259,294853,56,4.6,4750022,"4,764,380"
"New York-Newark-Jersey City, NY-NJ-PA Metro Area","1 - April 23-May 5, 2020",7422195,432141,54.8,2.9,13543410,"13,659,207"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area","1 - April 23-May 5, 2020",2375732,217564,50.2,3.4,4736547,"4,788,219"
"Phoenix-Mesa-Chandler, AZ Metro Area","1 - April 23-May 5, 2020",1670541,176113,43.8,4.1,3814705,"3,864,078"
"Riverside-San Bernardino-Ontario, CA Metro Area","1 - April 23-May 5, 2020",2371607,390857,52.1,4.9,4548903,"4,577,129"
"San Francisco-Oakland-Berkeley, CA Metro Area","1 - April 23-May 5, 2020",1580801,186180,46.3,3.8,3414171,"3,431,059"
