learning_model,learning_model_gr_k5,learning_model_gr68,learning_model_gr912,time_period_start,time_period_end,enrollment_total,enrollment_in_person,enrollment_hybrid,enrollment_virtual,staff_count,staff_count_in_person
Hybrid,In-person,Hybrid,Hybrid,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,25463,NA,NA,NA,3607,NA
Hybrid,In-person,Hybrid,Hybrid,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,25463,NA,NA,NA,3607,NA
Hybrid,In-person,Hybrid,Hybrid,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,25463,NA,NA,NA,3607,NA
Hybrid,In-person,Hybrid,Hybrid,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,25463,NA,NA,NA,3607,NA
Virtual,Virtual,Virtual,Virtual,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,25463,NA,NA,NA,3607,NA
Virtual,Virtual,Virtual,Virtual,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,25463,NA,NA,NA,3607,NA
Virtual,Virtual,Virtual,Virtual,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,25463,NA,NA,NA,3607,NA
Hybrid,In-person,Hybrid,Hybrid,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,25463,NA,NA,NA,3607,NA
Hybrid,In-person,Hybrid,Hybrid,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,25463,NA,NA,NA,3607,NA
Hybrid,In-person,Hybrid,Hybrid,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,25463,NA,NA,NA,3607,NA
Virtual,Virtual,Virtual,Virtual,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,35817,NA,NA,NA,4829,NA
Virtual,Virtual,Virtual,Virtual,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,35817,NA,NA,NA,4829,NA
Hybrid,In-person,Hybrid,Hybrid,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,35817,NA,NA,NA,4829,NA
Virtual,In-person,Virtual,Virtual,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,35817,NA,NA,NA,4829,NA
Virtual,Virtual,Virtual,Virtual,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,35817,NA,NA,NA,4829,NA
Virtual,Virtual,Virtual,Virtual,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,35817,NA,NA,NA,4829,NA
Hybrid,In-person,Hybrid,Hybrid,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,35817,NA,NA,NA,4829,NA
Hybrid,In-person,Hybrid,Hybrid,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,35817,NA,NA,NA,4829,NA
In-Person,In-person,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,35817,NA,NA,NA,4829,NA
In-Person,In-person,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,35817,NA,NA,NA,4829,NA
Virtual,Virtual,Virtual,Virtual,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,5725,NA,NA,NA,830,NA
Virtual,Virtual,Virtual,Virtual,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,5725,NA,NA,NA,830,NA
Virtual,Virtual,Virtual,Virtual,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,5725,NA,NA,NA,830,NA
Virtual,Virtual,Virtual,Virtual,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,5725,NA,NA,NA,830,NA
Virtual,Virtual,Virtual,Virtual,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,5725,NA,NA,NA,830,NA
Virtual,Virtual,Virtual,Virtual,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,5725,NA,NA,NA,830,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,5725,NA,NA,NA,830,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,5725,NA,NA,NA,830,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,5725,NA,NA,NA,830,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,5725,NA,NA,NA,830,NA
Virtual,Virtual,Virtual,Virtual,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,36396,NA,NA,NA,5671,NA
Virtual,Virtual,Virtual,Virtual,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,36396,NA,NA,NA,5671,NA
Virtual,Virtual,Virtual,Virtual,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,36396,NA,NA,NA,5671,NA
Virtual,Virtual,Virtual,Virtual,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,36396,NA,NA,NA,5671,NA
Virtual,Virtual,Virtual,Virtual,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,36396,NA,NA,NA,5671,NA
Virtual,Virtual,Virtual,Virtual,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,36396,NA,NA,NA,5671,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,36396,NA,NA,NA,5671,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,36396,NA,NA,NA,5671,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,36396,NA,NA,NA,5671,NA
Hybrid,Hybrid,Hybrid,Hybrid,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,36396,NA,NA,NA,5671,NA
In-Person,In-person,In-person,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,64,NA,NA,NA,20,NA
In-Person,In-person,In-person,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,64,NA,NA,NA,20,NA
In-Person,In-person,In-person,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,64,NA,NA,NA,20,NA
In-Person,In-person,In-person,In-person,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,64,NA,NA,NA,20,NA
