learning_model,learning_model_gr_k5,learning_model_gr68,learning_model_gr912,time_period_start,time_period_end,enrollment_total,enrollment_in_person,enrollment_hybrid,enrollment_virtual,staff_count,staff_count_in_person
Closed,NA,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,476,NA,NA,NA,68,NA
In-Person,In-person,Hybrid,NA,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,476,NA,NA,NA,68,NA
In-Person,In-person,Hybrid,NA,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,476,NA,NA,NA,68,NA
In-Person,In-person,Hybrid,NA,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,476,NA,NA,NA,68,NA
In-Person,In-person,Hybrid,NA,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,476,NA,NA,NA,68,NA
In-Person,In-person,Virtual,NA,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,476,NA,NA,NA,68,NA
In-Person,In-person,Hybrid,NA,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,476,NA,NA,NA,68,NA
In-Person,In-person,In-person,NA,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,476,NA,NA,NA,68,NA
In-Person,In-person,In-person,NA,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,476,NA,NA,NA,68,NA
In-Person,In-person,In-person,NA,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,476,NA,NA,NA,68,NA
In-Person,In-person,In-person,NA,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,476,NA,NA,NA,68,NA
Closed,NA,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,314,NA,NA,NA,56,NA
Hybrid,Hybrid,NA,NA,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,314,NA,NA,NA,56,NA
Hybrid,Hybrid,NA,NA,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,314,NA,NA,NA,56,NA
Hybrid,Hybrid,NA,NA,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,314,NA,NA,NA,56,NA
Hybrid,Hybrid,NA,NA,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,314,NA,NA,NA,56,NA
Hybrid,Hybrid,NA,NA,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,314,NA,NA,NA,56,NA
Hybrid,Hybrid,NA,NA,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,314,NA,NA,NA,56,NA
In-Person,In-person,NA,NA,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,314,NA,NA,NA,56,NA
In-Person,In-person,NA,NA,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,314,NA,NA,NA,56,NA
In-Person,In-person,NA,NA,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,314,NA,NA,NA,56,NA
Closed,NA,NA,NA,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,314,NA,NA,NA,56,NA
Closed,NA,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,406,NA,NA,NA,82,NA
Hybrid,NA,Hybrid,Hybrid,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,406,NA,NA,NA,82,NA
Hybrid,NA,Hybrid,Hybrid,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,406,NA,NA,NA,82,NA
Hybrid,NA,Hybrid,Hybrid,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,406,NA,NA,NA,82,NA
Hybrid,NA,Hybrid,Hybrid,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,406,NA,NA,NA,82,NA
Hybrid,NA,Hybrid,Hybrid,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,406,NA,NA,NA,82,NA
Hybrid,NA,Hybrid,Hybrid,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,406,NA,NA,NA,82,NA
In-Person,NA,In-person,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,406,NA,NA,NA,82,NA
In-Person,NA,In-person,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,406,NA,NA,NA,82,NA
In-Person,NA,In-person,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,406,NA,NA,NA,82,NA
Closed,NA,NA,NA,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,406,NA,NA,NA,82,NA
Closed,NA,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,406,NA,NA,NA,72,NA
In-Person,In-person,NA,NA,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,406,NA,NA,NA,72,NA
In-Person,In-person,NA,NA,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,406,NA,NA,NA,72,NA
In-Person,In-person,NA,NA,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,406,NA,NA,NA,72,NA
In-Person,In-person,NA,NA,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,406,NA,NA,NA,72,NA
In-Person,In-person,NA,NA,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,406,NA,NA,NA,72,NA
In-Person,In-person,NA,NA,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,406,NA,NA,NA,72,NA
In-Person,In-person,NA,NA,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,406,NA,NA,NA,72,NA
In-Person,In-person,NA,NA,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,406,NA,NA,NA,72,NA
In-Person,In-person,NA,NA,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,406,NA,NA,NA,72,NA
In-Person,In-person,NA,NA,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,406,NA,NA,NA,72,NA
In-Person,NA,NA,In-person,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,434,NA,NA,NA,88,NA
In-Person,NA,NA,In-person,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,434,NA,NA,NA,88,NA
In-Person,NA,NA,In-person,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,434,NA,NA,NA,88,NA
In-Person,NA,NA,In-person,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,434,NA,NA,NA,88,NA
In-Person,NA,NA,In-person,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,434,NA,NA,NA,88,NA
In-Person,NA,NA,In-person,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,434,NA,NA,NA,88,NA
In-Person,NA,NA,In-person,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,434,NA,NA,NA,88,NA
In-Person,NA,NA,In-person,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,434,NA,NA,NA,88,NA
In-Person,NA,NA,In-person,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,434,NA,NA,NA,88,NA
In-Person,NA,NA,In-person,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,434,NA,NA,NA,88,NA
In-Person,NA,NA,In-person,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,434,NA,NA,NA,88,NA
Closed,NA,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,419,NA,NA,NA,75,NA
In-Person,NA,In-person,NA,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,419,NA,NA,NA,75,NA
In-Person,NA,In-person,NA,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,419,NA,NA,NA,75,NA
In-Person,NA,In-person,NA,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,419,NA,NA,NA,75,NA
In-Person,NA,In-person,NA,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,419,NA,NA,NA,75,NA
In-Person,NA,In-person,NA,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,419,NA,NA,NA,75,NA
In-Person,NA,In-person,NA,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,419,NA,NA,NA,75,NA
In-Person,NA,In-person,NA,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,419,NA,NA,NA,75,NA
In-Person,NA,In-person,NA,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,419,NA,NA,NA,75,NA
In-Person,NA,In-person,NA,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,419,NA,NA,NA,75,NA
In-Person,NA,In-person,NA,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,419,NA,NA,NA,75,NA
Closed,NA,NA,NA,2020-08-01T00:00:00Z,2020-08-31T00:00:00Z,80,NA,NA,NA,28,NA
Virtual,NA,Virtual,NA,2020-09-01T00:00:00Z,2020-09-30T00:00:00Z,80,NA,NA,NA,28,NA
In-Person,NA,In-person,NA,2020-10-01T00:00:00Z,2020-10-31T00:00:00Z,80,NA,NA,NA,28,NA
In-Person,NA,In-person,NA,2020-11-01T00:00:00Z,2020-11-30T00:00:00Z,80,NA,NA,NA,28,NA
In-Person,NA,In-person,NA,2020-12-01T00:00:00Z,2020-12-31T00:00:00Z,80,NA,NA,NA,28,NA
In-Person,NA,In-person,NA,2021-01-01T00:00:00Z,2021-01-31T00:00:00Z,80,NA,NA,NA,28,NA
In-Person,NA,In-person,NA,2021-02-01T00:00:00Z,2021-02-28T00:00:00Z,80,NA,NA,NA,28,NA
In-Person,NA,In-person,NA,2021-03-01T00:00:00Z,2021-03-31T00:00:00Z,80,NA,NA,NA,28,NA
In-Person,NA,In-person,NA,2021-04-01T00:00:00Z,2021-04-30T00:00:00Z,80,NA,NA,NA,28,NA
In-Person,NA,In-person,NA,2021-05-01T00:00:00Z,2021-05-31T00:00:00Z,80,NA,NA,NA,28,NA
In-Person,NA,In-person,NA,2021-06-01T00:00:00Z,2021-06-30T00:00:00Z,80,NA,NA,NA,28,NA
