File,Area,total_loss_of_employment_income,percent_loss_of_employment_income
1,Alabama,1648851,44.4
1,Alaska,239409,45.6
1,Arizona,2383738,42.7
1,Arkansas,866958,39
1,California,16264632,54.5
1,Colorado,2214259,49.8
1,Connecticut,1261318,46.2
1,Delaware,344999,45.8
1,District of Columbia,180436,33.3
1,Florida,7943162,46.5
1,Georgia,3605689,45.4
1,Hawaii,632785,59.2
1,Idaho,503700,37.5
1,Illinois,4369656,46.3
1,Indiana,2047540,41
1,Iowa,914389,39.1
1,Kansas,751894,35.2
1,Kentucky,1563948,46.9
1,Louisiana,1908008,55.7
1,Maine,472828,44.4
1,Maryland,1852075,40.8
1,Massachusetts,2465408,46.9
1,Michigan,4215893,55.2
1,Minnesota,1716789,40.6
1,Mississippi,995590,45.5
1,Missouri,1972213,42.8
1,Montana,314065,38.4
1,Nebraska,563415,39.8
1,Nevada,1336837,55.8
1,New Hampshire,479252,44.8
1,New Jersey,3831063,56.6
1,New Mexico,670980,42.4
1,New York,7832513,53
1,North Carolina,3558562,44.5
1,North Dakota,257984,46.1
1,Ohio,3777700,42.9
1,Oklahoma,1386735,47.6
1,Oregon,1707408,51.7
1,Pennsylvania,4860890,49.8
1,Rhode Island,369923,45.4
1,South Carolina,1807346,45.6
1,South Dakota,256371,39.9
1,Tennessee,2437773,47.1
1,Texas,9720355,45.7
1,Utah,1005934,44.4
1,Vermont,206192,42.6
1,Virginia,3082330,47.7
1,Washington,2610017,44.4
1,West Virginia,544834,39.5
1,Wisconsin,1812821,40.9
1,Wyoming,146523,34
1,-> Metro Areas,NA,NA
1,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2694331,51.1
1,"Boston-Cambridge-Newton, MA-NH Metro Area",1771444,47.1
1,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3209156,49.2
1,"Dallas-Fort Worth-Arlington, TX Metro Area",3399788,54.4
1,"Detroit-Warren-Dearborn, MI Metro Area",2163764,56.7
1,"Houston-The Woodlands-Sugar Land, TX Metro Area",2585507,50.2
1,"Los Angeles-Long Beach-Anaheim, CA Metro Area",6350219,57.5
1,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",2625941,56.7
1,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",7465002,56.2
1,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2425383,55.7
1,"Phoenix-Mesa-Chandler, AZ Metro Area",1607978,42.1
1,"Riverside-San Bernardino-Ontario, CA Metro Area",2772384,62.7
1,"San Francisco-Oakland-Berkeley, CA Metro Area",2025324,48.5
1,"Seattle-Tacoma-Bellevue, WA Metro Area",1415633,45.7
1,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",1599704,38
2,Alabama,1572529,42.5
2,Alaska,248535,47.6
2,Arizona,2327363,41.8
2,Arkansas,808737,36.3
2,California,16572515,55.5
2,Colorado,2091688,47.1
2,Connecticut,1314368,48.2
2,Delaware,340706,45.3
2,District of Columbia,211264,39.1
2,Florida,8413104,49.6
2,Georgia,3550035,44.7
2,Hawaii,592795,55.3
2,Idaho,530479,39.6
2,Illinois,4277170,45.5
2,Indiana,2657236,53.1
2,Iowa,895950,38.5
2,Kansas,866413,40.5
2,Kentucky,1422763,42.8
2,Louisiana,1591987,46.5
2,Maine,485666,45.8
2,Maryland,2059603,45
2,Massachusetts,2339537,44.2
2,Michigan,4420301,58.3
2,Minnesota,1779224,42
2,Mississippi,1067821,49
2,Missouri,1994091,43.4
2,Montana,365728,44.7
2,Nebraska,608813,43.2
2,Nevada,1479536,61.9
2,New Hampshire,526901,49.4
2,New Jersey,3668472,54.6
2,New Mexico,728174,46.1
2,New York,7789086,52.6
2,North Carolina,3721170,46.6
2,North Dakota,210162,37.6
2,Ohio,4006578,45.7
2,Oklahoma,1296055,44.7
2,Oregon,1739608,52.8
2,Pennsylvania,4855344,49.9
2,Rhode Island,364708,44.8
2,South Carolina,1930854,48.8
2,South Dakota,249706,38.9
2,Tennessee,2563625,49.2
2,Texas,10260399,48.3
2,Utah,999302,44
2,Vermont,230222,47.6
2,Virginia,2716805,42.1
2,Washington,2711066,46.2
2,West Virginia,633629,46
2,Wisconsin,1936670,43.9
2,Wyoming,166618,38.5
2,-> Metro Areas,NA,NA
2,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",2308763,46.3
2,"Boston-Cambridge-Newton, MA-NH Metro Area",1758535,46.1
2,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",3278147,48.1
